Designator,Mid X,Mid Y,Rotation,Layer
C10,45.65,-148.5,0.0,bottom
C11,45.7,-140.35,0.0,bottom
C13,85.35,-81.085,90.0,top
C14,83.45,-81.085,90.0,top
C15,97.1,-83.7,270.0,top
C16,57.5,-129.9,180.0,top
C17,57.6,-121.4,180.0,top
C18,85.2,-155.835,90.0,top
C19,125.8,-91.15,0.0,top
C20,114.802651,-89.65,180.0,top
C21,119.25,-74.35,90.0,top
C22,104.9,-146.55,0.0,top
C23,75.4,-156.4,0.0,top
C24,72.25,-163.0,0.0,top
C25,70.35,-153.25,180.0,top
C26,75.295,-160.8625,270.0,top
C27,64.1,-162.3,270.0,top
C28,61.6,-156.75,180.0,top
C29,66.502651,-101.6,180.0,top
C31,66.502651,-91.2,180.0,top
C32,66.502651,-81.2,180.0,top
C33,83.3,-155.835,90.0,top
C34,106.65,-73.45,0.0,top
C35,96.95,-158.45,270.0,top
C37,125.65,-165.9,0.0,top
C38,114.652651,-164.4,180.0,top
C39,119.1,-149.1,90.0,top
C4,63.0,-144.35,180.0,bottom
C40,70.6,-145.25,180.0,bottom
C41,85.3,-104.735,90.0,top
C42,83.4,-104.735,90.0,top
C43,105.0,-95.5,0.0,top
C44,97.05,-107.35,270.0,top
C46,125.75,-114.8,0.0,top
C47,114.752651,-113.3,180.0,top
C48,119.2,-98.0,90.0,top
C49,74.15,-150.65,90.0,bottom
C5,45.6875,-165.5,0.0,bottom
C50,85.3,-130.16,90.0,top
C51,83.4,-130.16,90.0,top
C52,105.0,-120.85,0.0,top
C53,97.05,-132.775,270.0,top
C55,125.75,-140.225,0.0,top
C56,114.752651,-138.725,180.0,top
C57,119.2,-123.425,90.0,top
C58,77.9,-145.25,180.0,bottom
C59,74.25,-145.25,180.0,bottom
C6,63.0,-142.35,180.0,bottom
C7,45.65,-156.75,0.0,bottom
C8,66.3,-143.2125,90.0,bottom
C9,56.8,-143.5,90.0,bottom
D1,52.75,-121.4,180.0,top
D10,94.5,-154.4,180.0,top
D11,52.08,-140.5,0.0,top
D12,62.5,-124.5,180.0,top
D13,62.525,-131.5,180.0,top
D14,129.35,-74.45,180.0,top
D15,52.25,-148.5,0.0,top
D16,129.2,-149.2,180.0,top
D17,94.6,-103.3,180.0,top
D18,129.3,-98.1,180.0,top
D19,94.6,-128.725,180.0,top
D2,63.2,-135.85,0.0,bottom
D20,65.78,-134.4,0.0,bottom
D21,65.7775,-133.15,0.0,bottom
D22,65.7775,-131.9,0.0,bottom
D23,65.7775,-130.65,0.0,bottom
D24,65.7775,-136.9,0.0,bottom
D25,65.7775,-135.65,0.0,bottom
D26,63.2,-138.45,180.0,bottom
D27,63.2,-133.2,180.0,bottom
D29,70.8,-142.75,90.0,bottom
D3,52.25,-164.25,0.0,top
D31,129.3,-123.525,180.0,top
D32,76.5,-150.75,270.0,bottom
D34,78.05,-142.8,90.0,bottom
D35,74.45,-142.75,90.0,bottom
D4,52.25,-155.25,0.0,top
D5,52.25,-165.75,0.0,top
D6,94.65,-79.65,180.0,top
D7,52.25,-147.0,0.0,top
D8,52.25,-156.75,0.0,top
D9,52.25,-139.0,0.0,top
F1,42.4,-166.25,90.0,bottom
F2,101.549962,-73.75,0.0,top
